19,18
1944,1940
3136,2926
7090,7022
8225,8146
6272,6261
5970,5930
5667,5628
7055,7045
6137,6136
2876,2889
6793,6790
3278,3262
1267,1258
7294,7278
7035,7034
6987,6983
5569,5570
8631,8629
2221,2214
3109,3103
4854,4824
781,778
918,914
11812,11590
9509,9413
3622,3562
1706,1704
2933,2923
3393,3381
14003,13958
10746,10629
3239,3238
5905,5905
2399,2398
6416,6382
8807,8780
6299,6295
5467,5460
2681,2636
611,604
2917,2894
4483,4483
7641,7575
1880,1873
8454,8452
5388,5388
1079,1075
4668,4662
10447,10433
4089,4088
6217,6205
5441,5433
2450,2437
8890,8808
4112,4105
2053,2036
3548,3536
10849,10836
9671,9663
5393,5390
8308,8297
1264,1257
4270,4259
38304,37853
27406,27380
47399,47327
32975,32573
36292,36128
30281,30157
31842,31740
33312,33258
18603,18485
39755,39702
336698,335065
107 516,107 516
200 433,184 892
427 8244,420 2804
562 2571,552 8041
454 1706,452 6386
484 2859,479 7369
388 3825,384 6165
454 0327,453 3977
359 2127,359 1317
180 7267,180 2377
424 307,424 072
226 6852,224 4302
123 1344,121 9514
467 9736,466 3886
445 6674,444 2654
436 9979,436 0049
354 395,353 411
520 0215,519 6005
166 3583,165 2443
273 8284,273 0874
377 8109,374 3359
84 7996,84 2526
84 9307,84 3847
780 7248,764 9388
684 1872,673 7732
276 0179,267 2459
136 0407,135 7117
235 6113,234 3033
303 0193,301 2843
1009 5407,1003 0677
724 8131,720 7861
235 445,235 282
359 632,359 589
185 5896,185 2726
509 4457,504 4667
580 346,575 379
396 5473,396 0263
374 6069,373 3519
248 934,243 089
60 9278,59 8548
198 1952,195 4572
261 126,261 126
474 058,474 587
172 3494,171 3324
515 633,515 209
332 034,332 034
90 3657,89 6437
298 7987,297 2597
658 8431,656 1651
261 8327,260 3927
432 3978,431 1998
420 1323,418 8853
222 7841,220 8161
555 8235,547 0185
290 9292,290 1432
183 8403,181 4763
282 1238,280 2688
803 6978,801 9198
714 7135,711 0595
355 7775,355 3945
560 7312,558 8562
108 6907,107 6847
384 6464,383 2184
2624 8695,2582 4845
1768 0987,1763 2207
3212 7833,3200 9753
2415 6012,2377 2572
2515 0204,2503 9974
2170 8077,2152 1677
2043 7613,2039 3893
2294 7887,2284 7187
1312 7168,1298 9068
2928 2571,2918 1331
23364 4849,23191 8849
55 3065843621399,55 420618556701
63 9135841836735,63 1893369788107
60 3419464033851,59 8519510111079
68 3595258358663,67 8620304443899
72 4124043367347,72 2949369110366
81 1199162479062,80 8999831365936
68 534056820187,68 3398187633262
64 3561587526577,64 3573740241306
58 5322959100538,58 5286342894394
62 8396036161335,62 3875735548633
62 4623877520977,62 4553755522828
69 1535082367297,68 801410177805
97 1857932123125,96 9406995230525
64 1587057855772,64 0819730695246
63 3500213219616,63 1597099800967
62 5444253613854,62 4380495489045
63 637098222302,63 449012567325
60 2504344803615,60 2156101518136
74 9024313372355,74 6360885275519
88 0760373110325,88 0075410892685
77 8349608570251,77 5986525704809
108 578233034571,108 29383033419
92 5171023965142,92 3246170678337
66 0959024720623,65 9998964624676
71 9515406457041,71 5790077552321
76 2059359469906,75 0269230769231
79 7424970691677,79 6430164319249
80 3311626321173,80 1585015395142
89 3071912761568,89 1110026619343
72 094601156895,71 8632827052586
67 4495719337428,67 8131621036786
72 690645260883,72 6627547869055
60 9029635901778,60 8956816257409
77 3612338474364,77 2613010842369
79 4023846633416,79 0452366029458
65 8959918246849,65 5329157175399
62 9540085727893,62 9112470214456
68 5214743003475,68 3794688644689
92 8511749347258,92 2188922610015
99 7181669394435,99 0973509933775
67 9448748714433,67 5387698686938
58 248048182021,58 248048182021
62 041355843476,62 6517491749175
91 6752127659574,91 4748531767218
60 9927844807192,60 9570515854236
61 6247216035635,61 6247216035635
83 7494902687674,83 389488372093
64 0100042844902,63 7622694122694
63 0652914712358,62 8932330106393
64 033431156762,63 6968444227006
69 550876628599,69 4923126510878
77 2160080867488,77 1001840603718
90 9322857142857,90 6098071399261
62 5223284589426,62 1047343324251
70 7512645914397,70 6804384896468
89 5471505114467,89 133742632613
79 5162908680947,79 2615384615385
74 0803576366485,74 0051495016611
73 9027504911591,73 585791162165
65 9702391989616,65 9358998144712
67 4929224843524,67 3564179824033
85 9894778481013,85 6680190930788
90 0811241217799,89 9784926038976
68 5272947994987,68 2240377248831
64 5150222578997,64 3981263696129
67 7816683896285,67 6352885245209
73 2555329795299,72 9824455837657
69 2995811749146,69 3090511514615
71 6887718371256,71 3654441754817
64 1844513535582,64 2529710144928
68 887749159462,68 6968158037164
70 564790625168,70 2681525561266
73 6575801785939,73 500909274092
69 3930017404321,69 2160771790548
