name,visit
Sachin Tendulkar,1902679
John F. Kennedy,1880014
Eminem,1620613
Jacqueline Kennedy Onassis,1357508
Chandrasekhara Venkata Raman,1258676
Lee Harvey Oswald,1239428
Jennifer Lawrence,1087106
Jack Ruby,1011592
Miley Cyrus,959809
Lady Gaga,815666
Desmond Tutu,758904
Cristiano Ronaldo,751745
Adolf Hitler,687745
Guy Fawkes,647602
Chris Hemsworth,631090
Steve Jobs,615452
Abraham Lincoln,608831
Ban Ki-moon,603197
Justin Bieber,600882
Susilo Bambang Yudhoyono,590184
Tom Hiddleston,581491
Fatmir Sejdiu,567135
Barack Obama,563506
Lil Wayne,530316
Katy Perry,526126
Jean-Claude Van Damme,525719
Magnus Carlsen,518437
Mahatma Gandhi,508363
Kim Kardashian,497424
Bill Gates,492746
Lionel Messi,491691
Albert Einstein,490869
Rihanna,484774
Liam Hemsworth,479287
Angelina Jolie,472469
Deepika Padukone,459010
Rowan Atkinson,455691
William Shakespeare,454040
Selena Gomez,448295
Kaley Cuoco,447357
Michael Jordan,442215
Lana Del Rey,441251
Taylor Swift,441222
Robert F. Kennedy,435123
Brittany Murphy,435055
Sunny Leone,428743
Kanye West,427389
Scarlett Johansson,424275
Michael Jackson,419479
Elvis Presley,418259
Sandra Bullock,416438
Charles Manson,412835
Natalie Portman,408430
Tupac Shakur,407415
Josh Hutcherson,406048
Leonardo Da Vinci,403978
Andy Kaufman,399700
John Cena,393181
The Rock,387122
Jennifer Aniston,383172
Manny Pacquiáo,383090
David Tennant,383021
Celine Dion,381462
Mila Kunis,380568
Mike Tyson,380550
Britney Spears,377965
Johnny Depp,377004
James Franco,376202
Demi Lovato,371480
Avicii,371250
Lyndon B. Johnson,369776
Bruno Mars,365546
Justin Timberlake,362474
Leonardo DiCaprio,361051
Arnold Schwarzenegger,359398
Avril Lavigne,355655
Henry VIII of England,354443
Adam Levine,352108
Mark Zuckerberg,350711
Isaac Newton,349409
Will Smith,348731
Elizabeth II of the United Kingdom,346219
Jay-Z,345274
Stephen Hawking,344373
Harrison Ford,344283
Salman Khan,341853
Pablo Picasso,341350
Lou Reed,341285
Zlatan Ibrahimović,340865
George Washington,339580
Muhammad Ali,338536
Cher,337119
Hugh Jackman,336681
Freddie Mercury,334613
Shahrukh Khan,334224
Nelson Mandela,332087
Christopher Columbus,331621
Bruce Lee,329474
Mark Wahlberg,327197
Katrina Kaif,327018
Al Capone,323131
Jimi Hendrix,319119
Sasha Grey,315499
Jesus Christ,312685
Walt Disney,311994
Jason Statham,309291
Nicki Minaj,309211
Franklin D. Roosevelt,305943
Ryan Gosling,305503
Megan Fox,305176
Emma Watson,304166
Bob Marley,304151
Jawaharlal Nehru,304075
Napoleon Bonaparte,303396
Brad Pitt,300902
Sylvester Stallone,299540
Ellie Goulding,293576
Theodore Roosevelt,293528
LeBron James,291245
Nikola Tesla,289189
Elizabeth I of England,287519
Christina Aguilera,287333
Robert De Niro,286479
Hrithik Roshan,285828
Emma Roberts,285506
Viswanathan Anand,284270
Ronald Reagan,281904
Audrey Hepburn,281005
Oprah Winfrey,280924
Malala Yousafzai,279118
Joseph Stalin,278944
Michael Crichton,278719
Vincent van Gogh,277555
Channing Tatum,277516
Tom Hanks,276878
Gautama Buddha,275966
Tom Cruise,272219
Macaulay Culkin,272131
Jackie Chan,271603
Chloë Moretz,270541
Ashton Kutcher,270011
Kurt Cobain,269410
Beyoncé,269348
Benjamin Franklin,269324
Heath Ledger,267048
Bill Cosby,267045
Andy Warhol,264231
Rachel McAdams,263359
Gareth Bale,263158
Priyanka Chopra,262818
Alexander the Great,262674
Jim Parsons,259812
Bryan Cranston,259517
Keanu Reeves,256233
Winston Churchill,255224
Snoop Dogg,254882
John Lennon,254542
Benedict Cumberbatch,250664
Thomas Edison,250432
Lily Allen,250308
Vivien Leigh,250252
Che Guevara,250064
Salma Hayek,249303
George Bush,248555
Andrew Jackson,248245
Bill Clinton,247458
Julius Caesar,246220
Edgar Allan Poe,246079
James Spader,245364
Mariah Carey,244057
Jennifer Lopez,243372
Johnny Cash,243177
Morgan Freeman,242729
Cobie Smulders,242519
