County,Votes
Los Angeles,2652072.0
Cook,2055215.0
Harris,1302887.0
Maricopa,1201934.0
Orange,1092116.0
San Diego,1011651.0
Miami-Dade,978670.0
King,910823.0
Broward,822837.0
Wayne,775450.0
Middlesex,767337.0
Clark,765421.0
Dallas,750649.0
Kings,746295.0
Riverside,683612.0
Philadelphia,680227.0
Hennepin,672644.0
Oakland,663255.0
Tarrant,662832.0
Santa Clara,659148.0
Palm Beach,657235.0
Allegheny,643173.0
Queens,627021.0
Suffolk,625720.0
Alameda,613195.0
Nassau,599649.0
San Bernardino,598783.0
Hillsborough,595072.0
New York,591368.0
Bexar,586038.0
Cuyahoga,583230.0
Franklin,554711.0
Orange,545800.0
Fairfax,542858.0
Wake,510940.0
St. Louis,503493.0
Pinellas,491520.0
Sacramento,467526.0
Travis,462511.0
Mecklenburg,461834.0
Milwaukee,434970.0
Duval,428734.0
Montgomery,427489.0
Macomb,418773.0
Contra Costa,415972.0
DuPage,412929.0
Fairfield,410279.0
Montgomery,408300.0
Fulton,407173.0
Hartford,399219.0
Hamilton,395000.0
Bergen,383965.0
Erie,383248.0
Worcester,380972.0
Westchester,378506.0
Essex,376140.0
New Haven,375909.0
San Francisco,365295.0
Salt Lake,361347.0
Marion,361070.0
Pima,360762.0
Bronx,358857.0
Norfolk,357781.0
Multnomah,357762.0
Collin,356545.0
Jefferson,352934.0
Prince George's,351091.0
Bucks,342572.0
Baltimore,335017.0
Shelby,331861.0
Cobb,326424.0
Lee,325797.0
Gwinnett,323931.0
Pierce,322592.0
Monroe,320164.0
Brevard,314337.0
El Paso,313273.0
Monmouth,311474.0
Jefferson,309529.0
Snohomish,309496.0
Ventura,307881.0
Kent,306270.0
Dane,304729.0
Suffolk,303517.0
Essex,299808.0
DeKalb,295871.0
Jackson,294063.0
Lake,293574.0
Denton,293287.0
Will,291010.0
Jefferson,290111.0
San Mateo,287499.0
Honolulu,285683.0
Delaware,284832.0
Polk,283828.0
Middlesex,282668.0
Arapahoe,281658.0
"District of Columbia, District of Columbia",280272.0
Johnson,279753.0
Oklahoma,273609.0
Bernalillo,272004.0
Ramsey,269161.0
Chester,266637.0
Plymouth,264168.0
New Castle,261468.0
Fort Bend,260367.0
Volusia,260304.0
Ocean,259592.0
Guilford,252087.0
Fresno,250264.0
Summit,249937.0
Montgomery,249560.0
Morris,248848.0
