name,target
Massachusetts Institute of Technology (MIT),1
Stanford University,2
Harvard University,3
University of Oxford,4
California Institute of Technology (Caltech),5
ETH Zurich - Swiss Federal Institute of Technology,6
University of Cambridge,7
UCL (University College London),8
Imperial College London,9
University of Chicago,10
National University of Singapore (NUS),11
Nanyang Technological University Singapore (NTU),11
Princeton University,13
Cornell University,14
University of Pennsylvania,15
Tsinghua University,16
Yale University,17
Columbia University,18
EPFL - Ecole Polytechnique Federale de Lausanne,18
University of Edinburgh,20
University of Michigan,21
Peking University,22
University of Tokyo,22
Johns Hopkins University,24
University of Hong Kong,25
Duke University,25
University of Manchester,27
University of California Berkeley (UCB),28
Australian National University,29
University of Toronto,29
Northwestern University,31
Hong Kong University of Science and Technology,32
King's College London,33
Kyoto University,33
McGill University,35
University of California Los Angeles (UCLA),35
Seoul National University,37
University of Melbourne,38
New York University (NYU),39
Fudan University,40
KAIST - Korea Advanced Institute of Science & Technology,41
University of Sydney,42
University of New South Wales (UNSW Sydney),43
London School of Economics and Political Science (LSE),44
University of California San Diego (UCSD),45
Chinese University of Hong Kong (CUHK),46
University of Queensland,47
Carnegie Mellon University,48
University of Bristol,49
Delft University of Technology,50
University of British Columbia,51
City University of Hong Kong,52
Universite PSL,53
Zhejiang University,54
Technical University of Munich,55
University of Wisconsin-Madison,56
Brown University,57
Tokyo Institute of Technology,58
Monash University,58
Shanghai Jiao Tong University,60
Ecole Polytechnique,60
University of Warwick,62
Ludwig-Maximilians-Universität München,63
University of Amsterdam,64
University of Texas at Austin,65
Ruprecht-Karls-Universitat Heidelberg,66
University of Glasgow,67
University of Washington,68
National Taiwan University (NTU),69
Universiti Malaya (UM),70
Osaka University,71
Georgia Institute of Technology,72
University of Copenhagen,72
Universidad de Buenos Aires (UBA),74
University of Illinois at Urbana-Champaign,75
University of Zurich,76
Sorbonne University,77
Durham University,78
University of Sheffield,78
KU Leuven,80
University of Birmingham,81
Tohoku University,82
Korea University,83
Lomonosov Moscow State University,84
Rice University,85
University of Western Australia,86
Pohang University of Science and Technology (POSTECH),87
University of Auckland,88
University of Science and Technology of China,89
University of North Carolina Chapel Hill,90
Hong Kong Polytechnic University,91
Lund University,92
Pennsylvania State University,93
University of Leeds,93
Sungkyunkwan University (SKKU),95
University of Nottingham,96
University of Southampton,97
Boston University,98
KTH Royal Institute of Technology,98
University of St Andrews,100
