24,0
1855 10,alfredsson daniel
1043 43,anisimov artem
2057 42,antropov nik
1269 52,asham arron
1629 33,avery sean
951 52,axelsson pj
2493 42,backstrom nicklas
1610 56,bergenheim sean
1439 38,bergeron patrice
1172 41,betts blair
2133 08,blake jason
1817 43,booth david
2447 59,boyes brad
1012 21,boyle brian
837 04,bozak tyler
1516 57,bradley matt
1674 43,briere daniel
1345 47,brind_amour rod
480 26,brylin sergei
1798 05,callahan ryan
1898 45,cammalleri mike
1793 20,campbell gregory
1366 41,carcillo dan
2104 26,carter jeff
1412 02,christensen erik
1721 32,clarkson david
1781 57,clowe ryane
1760 29,cole erik
1569 07,comeau blake
1339 12,comrie mike
1450 39,connolly tim
1808 20,cooke matt
1457 46,crombeen bj
1898 22,crosby sidney
1642 36,cullen matt
902 01,darche mathieu
1083 38,downie steve
1667 28,drury chris
2169 04,dubinsky brandon
1980 40,dupuis pascal
1999 46,dvorak radek
1866 46,elias patrik
2051 13,erat martin
1886 19,fedotenko ruslan
2127 57,fisher mike
1530 49,fleischmann tomas
1628 33,foligno nick
1674 50,frolik michael
1775 28,gaborik marian
1368 02,gagne simon
1771 11,gaustad paul
2122 01,gionta brian
1294 27,giroux claude
2390 22,gomez scott
1158 46,gordon boyd
1616 24,grabovski mikhail
1563 49,guerin bill
1773 29,hagman niklas
958 00,hall adam
1555 20,halpern jeff
2115 30,hartnell scott
2455 55,heatley dany
1965 33,hecht jochen
1655 32,higgins chris
824 26,hilbert andy
514 18,hlavac jan
2118 50,horton nathan
1317 12,hunter trent
1778 47,jokinen jussi
2335 43,jokinen olli
2367 18,kane patrick
1979 06,kelly chris
1612 21,kennedy tyler
2148 52,kesler ryan
2170 55,kessel phil
2119 43,knuble mike
1551 57,kobasew chuck
1823 57,koivu saku
1824 10,kostitsyn andrei
1342 23,kostitsyn sergei
1588 51,kostopoulos tom
1411 19,kotalik ales
2103 43,kovalev alex
1046 09,kozlov viktor
1977 29,krejci david
1206 14,kreps kamil
1439 06,kulemin nikolai
1914 20,kunitz chris
2025 01,ladd andrew
1904 17,laich brooks
1979 22,langenbrunner jamie
1220 07,laperriere ian
1624 39,lapierre maxim
1784 04,larose chad
2243 39,lecavalier vincent
1847 19,lucic milan
1293 36,lupul joffrey
1664 33,macarthur clarke
2007 14,madden john
2051 30,malkin evgeni
1661 42,malone ryan
2149 13,mcclement jay
841 23,mclean brett
1317 51,metropolit glen
883 34,mitchell john
1772 16,moore dominic
1892 00,morrow brenden
1311 45,moulson matt
1151 33,naslund markus
1683 21,neal james
1584 41,neil chris
1948 36,niedermayer rob
1209 29,nielsen frans
665 15,nodl andreas
1280 19,okposo kyle
1315 57,olesz rostislav
417 04,ouellet michel
2636 06,ovechkin alex
1056 50,pandolfo jay
1879 27,parise zach
1349 24,park richard
1991 18,pavelski joe
882 05,peltonen ville
762 21,pettinger matt
1969 57,plekanec tomas
2019 39,pominville jason
1744 04,ponikarovsky alexei
927 35,powe darroll
1960 46,prospal vaclav
toi,player
1998 43,recchi mark
1530 14,reinprecht steven
2310 35,ribeiro mike
2128 25,richards brad
2004 28,richards mike
1886 20,roy derek
1858 12,ruutu tuomo
1808 32,ryder michael
1764 55,samsonov sergei
1276 04,satan miroslav
1552 23,savard marc
1855 41,semin alexander
1409 55,sjostrom fredrik
2055 49,spezza jason
2541 58,st _louis martin
2215 29,staal eric
1933 11,staal jordan
1678 23,stafford drew
2040 06,stajan matt
1582 06,stamkos steven
1481 48,steckel david
2025 32,steen alexander
2075 44,stempniak lee
554 23,stepan derek
1808 56,stillman cory
339 36,stumpel jozef
1360 01,sturm marco
1107 01,sutter brandon
1047 00,sykora petr
1553 25,talbot maxime
1882 51,tanguay alex
1129 06,tavares john
989 25,thompson nate
809 48,tlusty jiri
2151 09,umberger rj
1989 01,vanek thomas
914 49,van_riemsdyk james
2171 11,vermette antoine
1588 15,versteeg kris
415 04,ward jason
2165 56,weiss stephen
1482 11,wheeler blake
1979 31,whitney ray
2324 34,zajac travis
843 42,zednik richard
1592 55,zherdev nikolai
